"","ubica_geo","promedio_gasto"
"224",11013,290.585909090909
"225",11014,214.665
"226",11015,178.894
"227",11016,222.528571428571
"228",11017,236.676166666667
"229",11018,518.476086956522
"230",11019,174.237222222222
"231",11020,167.18197053407
"232",11021,136.441428571429
"233",11022,77.9694117647059
"234",11023,138.901739130435
"235",11025,186.002857142857
"236",11026,201.981428571429
"237",11027,135.243710691824
"238",11028,146.146046511628
"239",11029,86.5068181818182
"240",11030,98.4657291666667
"241",11031,148.50094017094
"242",11032,177.165447154472
"243",11033,212.134320987654
"244",11034,94.719512195122
"245",11035,17.6065
"246",11037,154.2884
"247",11039,103.015714285714
"248",11041,90.62
"249",11042,238.14976
"250",11043,249.004583333333
"251",11046,140.726494845361
"252",12001,169.336905537459
"253",12003,88.2835
"254",12004,86.9072549019608
"255",12007,630.237
